Year,Month,IncType,ParentPropertyType,NumFireDeaths,NumAllFireInjuries,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,IgnitionSourcePower,IgnitionSource,ItemFirstIgnited,LocationFireStarted,ApplianceManufacturer,ApplianceManufacturerOther,MainCauseModel
2010,October,Primary Fire,Dwelling,0,0,E09000026,Redbridge,E05011247,Loxford,Electricity,Washing machine,Wiring insulation,Kitchen,HOTPOINT,NULL,not known
2010,October,Primary Fire,Dwelling,0,0,E09000023,Lewisham,E05013717,Catford South,Electricity,Washing machine,Wiring insulation,Kitchen,SAMSUNG,NULL,Q1235S
2010,October,Primary Fire,Dwelling,0,1,E09000018,Hounslow,E05013625,Isleworth,Electricity,Washing machine,Other item,Kitchen,Other,Unable to read Burnt,Unknown
2010,November,Primary Fire,Dwelling,0,0,E09000015,Harrow,E05013550,Headstone,Electricity,Tumble dryer - Standard,Other item,Kitchen,Other,not known,not known
2010,February,Primary Fire,Dwelling,0,0,E09000031,Waltham Forest,E05013882,Cann Hall,Electricity,Washing machine,Wiring insulation,Kitchen,HOOVER,NULL,HNL 714630-80
2010,December,Primary Fire,Dwelling,0,0,E09000013,Hammersmith and Fulham,E05013745,Parsons Green & Sandford,Electricity,Tumble dryer - Standard,Clothing,Kitchen,NULL,NULL,NULL
2010,December,Primary Fire,Dwelling,0,1,E09000024,Merton,E05013821,Pollards Hill,Electricity,Washer/Dryer combined,Plastic - raw material only,Kitchen,NULL,NULL,NULL
2010,December,Primary Fire,Dwelling,0,0,E09000017,Hillingdon,E05013566,Colham & Cowley,Electricity,Washer/Dryer combined,None,Kitchen,NULL,NULL,NULL
2010,November,Primary Fire,Dwelling,0,0,E09000023,Lewisham,E05013724,Hither Green,Electricity,Washing machine,Plastic - raw material only,Kitchen,INDESIT,NULL,W1A111
2010,December,Primary Fire,Dwelling,0,0,E09000008,Croydon,E05011474,Old Coulsdon,Electricity,Tumble dryer - Standard,Other textiles,Garage,HOTPOINT,NULL,Unknown
2010,December,Primary Fire,Dwelling,0,0,E09000019,Islington,E05013701,Canonbury,Electricity,Washing machine,Other item,Kitchen,HOTPOINT,NULL,supermatic PWS 9404
2010,February,Primary Fire,Dwelling,0,0,E09000010,Enfield,E05013679,Edmonton Green,Electricity,Washing machine,Wiring insulation,Kitchen,INDESIT,NULL,WIA 101
2010,December,Primary Fire,Dwelling,0,0,E09000009,Ealing,E05013520,Ealing Broadway,Electricity,Dishwasher,Plastic - raw material only,Kitchen,BOSCH,NULL,Exxcel
2010,November,Primary Fire,Dwelling,0,0,E09000031,Waltham Forest,E05013894,Larkswood,Electricity,Tumble dryer - Standard,Unspecified internal fitting/part of structure,Kitchen,WHITE KNIGHT,NULL,CL 382 WV
2010,December,Primary Fire,Dwelling,0,0,E09000028,Southwark,E05011099,Dulwich Hill,Electricity,Washing machine,Wiring insulation,Kitchen,BOSCH,NULL,classixx
2010,December,Primary Fire,Dwelling,0,0,E09000008,Croydon,E05011482,Shirley North,Electricity,Washing machine,Wiring insulation,Kitchen,ELECTROLUX,NULL,wjd1667w
